


 mean density =  5514.308     surface ellipticity = 1/299.863
 nic =  55   noc = 109   moho = 213   nsl = 219   n = 222



 level   radius       rho        vpv        vph       vsv       vsh      eta       g       1/qm     1/qk      1/ell    etaell
 level   radius       rho        vpv        vph       vsv       vsh      eta       g       1/qm     1/qk      1/ell    etaell

   49  1085769.5 12831.782  11077.368  11077.368  3538.625  3538.625  1.00000  3.92509  0.01182  0.00075  0.0024184  0.00682
   50  1108389.7 12820.974  11069.586  11069.586  3533.187  3533.187  1.00000  4.00486  0.01182  0.00075  0.0024188  0.00711
   51  1131009.9 12809.945  11061.644  11061.644  3527.636  3527.636  1.00000  4.08450  0.01182  0.00075  0.0024191  0.00741
   52  1153630.1 12798.692  11053.541  11053.541  3521.974  3521.974  1.00000  4.16401  0.01182  0.00075  0.0024195  0.00771
   53  1176250.3 12787.216  11045.278  11045.278  3516.199  3516.199  1.00000  4.24340  0.01182  0.00075  0.0024198  0.00802
   54  1198870.5 12775.518  11036.854  11036.854  3510.312  3510.312  1.00000  4.32265  0.01182  0.00075  0.0024202  0.00834
   55  1221490.7 12763.597  11028.270  11028.270  3504.313  3504.313  1.00000  4.40176  0.01182  0.00075  0.0024206  0.00866
 ------------------------------------------------------------------------------------------------------------------------------------
   56  1221490.7 12166.346  10355.686  10355.686     0.000     0.000  1.00000  4.40176  0.00000  0.00002  0.0024206  0.00866
   57  1264103.3 12144.166  10330.856  10330.856     0.000     0.000  1.00000  4.52982  0.00000  0.00002  0.0024217  0.01774
   58  1306715.9 12121.366  10305.734  10305.734     0.000     0.000  1.00000  4.65871  0.00000  0.00002  0.0024234  0.02460
   59  1349328.5 12097.935  10280.293  10280.293     0.000     0.000  1.00000  4.78825  0.00000  0.00002  0.0024255  0.02978
   60  1391941.1 12073.864  10254.511  10254.511     0.000     0.000  1.00000  4.91830  0.00000  0.00002  0.0024279  0.03367
   61  1434553.6 12049.143  10228.362  10228.362     0.000     0.000  1.00000  5.04872  0.00000  0.00002  0.0024305  0.03657
   62  1477166.2 12023.762  10201.822  10201.822     0.000     0.000  1.00000  5.17940  0.00000  0.00002  0.0024332  0.03873
   63  1519778.8 11997.712  10174.868  10174.868     0.000     0.000  1.00000  5.31023  0.00000  0.00002  0.0024359  0.04032
   64  1562391.4 11970.981  10147.474  10147.474     0.000     0.000  1.00000  5.44114  0.00000  0.00002  0.0024387  0.04148
   65  1605004.0 11943.560  10119.616  10119.616     0.000     0.000  1.00000  5.57203  0.00000  0.00002  0.0024415  0.04233
   66  1647616.6 11915.440  10091.270  10091.270     0.000     0.000  1.00000  5.70284  0.00000  0.00002  0.0024442  0.04295
   67  1690229.2 11886.610  10062.412  10062.412     0.000     0.000  1.00000  5.83349  0.00000  0.00002  0.0024469  0.04340
   68  1732841.7 11857.060  10033.017  10033.017     0.000     0.000  1.00000  5.96394  0.00000  0.00002  0.0024495  0.04374
   69  1775454.3 11826.781  10003.060  10003.060     0.000     0.000  1.00000  6.09412  0.00000  0.00002  0.0024522  0.04400
   70  1818066.9 11795.763   9972.518   9972.518     0.000     0.000  1.00000  6.22399  0.00000  0.00002  0.0024547  0.04422
   71  1860679.5 11763.995   9941.366   9941.366     0.000     0.000  1.00000  6.35349  0.00000  0.00002  0.0024572  0.04442
   72  1903292.1 11731.468   9909.579   9909.579     0.000     0.000  1.00000  6.48259  0.00000  0.00002  0.0024597  0.04461
   73  1945904.7 11698.171   9877.134   9877.134     0.000     0.000  1.00000  6.61124  0.00000  0.00002  0.0024622  0.04482
   74  1988517.3 11664.096   9844.006   9844.006     0.000     0.000  1.00000  6.73940  0.00000  0.00002  0.0024646  0.04506
   75  2031129.8 11629.231   9810.170   9810.170     0.000     0.000  1.00000  6.86704  0.00000  0.00002  0.0024669  0.04532
   76  2073742.4 11593.568   9775.602   9775.602     0.000     0.000  1.00000  6.99412  0.00000  0.00002  0.0024692  0.04563
   77  2116355.0 11557.095   9740.279   9740.279     0.000     0.000  1.00000  7.12061  0.00000  0.00002  0.0024715  0.04599
