   1.00000000E+09   1.00000000       3.76411080       2.24238317E-08  0.84645890095604326     
   500000000.       1.00000000       6.22069979       4.70453472E-08  0.79497413215835333     
   100000000.       1.00000000       15.0552702       1.55010810E-07  0.69973405752681894     
   70000000.0       1.00000000       17.2921810       1.85774965E-07  0.68237864166506956     
   50000000.0       1.00000000       19.3490009       2.14517399E-07  0.66939020478706823     
   20000000.0       1.00000000       24.2641945       2.80695076E-07  0.64394039258701063     
   10000000.0       1.00000000       27.0932083       3.15821552E-07  0.63354038054542761     
   9000000.00       1.00000000       27.4599342       3.20893832E-07  0.63212626568680352     
   7000000.00       1.00000000       28.2798576       3.34165691E-07  0.62864005428978409     
   5000000.00       1.00000000       29.2813644       3.57453530E-07  0.62356948347638852     
   2000000.00       1.00000000       31.7796612       4.88894557E-07  0.60892012351176128     
   1000000.00       1.00000000       33.7893333       6.75322212E-07  0.59719548986959192     
   900000.000       1.00000000       34.1173134       7.10030292E-07  0.59542314241022098     
   700000.000       1.00000000       34.9244728       7.99446070E-07  0.59206709902323118     
   500000.000       1.00000000       36.0520363       9.34444301E-07  0.58823263267428771     
   400000.000       1.00000000       36.8193436       1.03439004E-06  0.58604431982161109     
   300000.000       1.00000000       37.8138809       1.17624597E-06  0.58361112012101657     
   200000.000       1.00000000       39.1815681       1.39996860E-06  0.58055422303008097     
   100000.000       1.00000000       41.2494011       1.82036308E-06  0.57666565014822357     
   70000.0000       1.00000000       42.1135979       2.03189347E-06  0.57547983119558166     
   50000.0000       1.00000000       42.7886047       2.21398204E-06  0.57467081964803268     
   20000.0000       1.00000000       44.0041885       2.58268346E-06  0.57350964836984875     
   10000.0000       1.00000000       44.4797554       2.74220133E-06  0.57312621523883955     
   1000.00000       1.00000000       44.9457550       2.90731009E-06  0.57282849801876823     
   100.000000       1.00000000       44.9945526       2.92511459E-06  0.57282598203397672     
   10.0000000       1.00000000       44.9994545       2.92690993E-06  0.57282571929232862     
   1.00000000       1.00000000       44.9999466       2.92708933E-06  0.57282574372822437     
  0.100000001       1.00000000       44.9999962       2.92710729E-06  0.57282572566323287     
   9.99999978E-03   1.00000000       45.0000000       2.92710843E-06  0.57282565774539773     
