 Give mantle model (i.e. S20RTS.sph)
 Give latitude, longitude, depth (in km)
   -90.00  -180.00  2400.00 -0.24091
   -90.00  -175.00  2400.00 -0.24090
   -90.00  -170.00  2400.00 -0.24090
   -90.00  -165.00  2400.00 -0.24089
   -90.00  -160.00  2400.00 -0.24089
   -90.00  -155.00  2400.00 -0.24089
   -90.00  -150.00  2400.00 -0.24090
   -90.00  -145.00  2400.00 -0.24090
   -90.00  -140.00  2400.00 -0.24091
   -90.00  -135.00  2400.00 -0.24092
   -90.00  -130.00  2400.00 -0.24093
   -90.00  -125.00  2400.00 -0.24095
   -90.00  -120.00  2400.00 -0.24096
   -90.00  -115.00  2400.00 -0.24097
   -90.00  -110.00  2400.00 -0.24099
   -90.00  -105.00  2400.00 -0.24100
   -90.00  -100.00  2400.00 -0.24101
   -90.00   -95.00  2400.00 -0.24102
   -90.00   -90.00  2400.00 -0.24103
   -90.00   -85.00  2400.00 -0.24104
   -90.00   -80.00  2400.00 -0.24104
   -90.00   -75.00  2400.00 -0.24105
   -90.00   -70.00  2400.00 -0.24105
   -90.00   -65.00  2400.00 -0.24104
   -90.00   -60.00  2400.00 -0.24104
   -90.00   -55.00  2400.00 -0.24103
   -90.00   -50.00  2400.00 -0.24103
   -90.00   -45.00  2400.00 -0.24102
   -90.00   -40.00  2400.00 -0.24100
   -90.00   -35.00  2400.00 -0.24099
   -90.00   -30.00  2400.00 -0.24098
   -90.00   -25.00  2400.00 -0.24097
   -90.00   -20.00  2400.00 -0.24095
   -90.00   -15.00  2400.00 -0.24094
   -90.00   -10.00  2400.00 -0.24093
   -90.00    -5.00  2400.00 -0.24092
   -90.00     0.00  2400.00 -0.24091
   -90.00     5.00  2400.00 -0.24090
   -90.00    10.00  2400.00 -0.24090
   -90.00    15.00  2400.00 -0.24089
   -90.00    20.00  2400.00 -0.24089
   -90.00    25.00  2400.00 -0.24089
   -90.00    30.00  2400.00 -0.24090
   -90.00    35.00  2400.00 -0.24090
   -90.00    40.00  2400.00 -0.24091
   -90.00    45.00  2400.00 -0.24092
   -90.00    50.00  2400.00 -0.24093
   -90.00    55.00  2400.00 -0.24095
   -90.00    60.00  2400.00 -0.24096
   -90.00    65.00  2400.00 -0.24097
   -90.00    70.00  2400.00 -0.24099
   -90.00    75.00  2400.00 -0.24100
   -90.00    80.00  2400.00 -0.24101
   -90.00    85.00  2400.00 -0.24102
   -90.00    90.00  2400.00 -0.24103
   -90.00    95.00  2400.00 -0.24104
   -90.00   100.00  2400.00 -0.24104
   -90.00   105.00  2400.00 -0.24105
   -90.00   110.00  2400.00 -0.24105
   -90.00   115.00  2400.00 -0.24104
   -90.00   120.00  2400.00 -0.24104
   -90.00   125.00  2400.00 -0.24103
   -90.00   130.00  2400.00 -0.24103
   -90.00   135.00  2400.00 -0.24102
   -90.00   140.00  2400.00 -0.24100
   -90.00   145.00  2400.00 -0.24099
   -90.00   150.00  2400.00 -0.24098
   -90.00   155.00  2400.00 -0.24097
   -90.00   160.00  2400.00 -0.24095
   -90.00   165.00  2400.00 -0.24094
   -90.00   170.00  2400.00 -0.24093
   -90.00   175.00  2400.00 -0.24092
   -90.00   180.00  2400.00 -0.24091
   -85.00  -180.00  2400.00 -0.22323
   -85.00  -175.00  2400.00 -0.22054
   -85.00  -170.00  2400.00 -0.21796
   -85.00  -165.00  2400.00 -0.21546
   -85.00  -160.00  2400.00 -0.21305
   -85.00  -155.00  2400.00 -0.21071
   -85.00  -150.00  2400.00 -0.20843
   -85.00  -145.00  2400.00 -0.20621
   -85.00  -140.00  2400.00 -0.20405
   -85.00  -135.00  2400.00 -0.20195
   -85.00  -130.00  2400.00 -0.19992
   -85.00  -125.00  2400.00 -0.19797
   -85.00  -120.00  2400.00 -0.19612
   -85.00  -115.00  2400.00 -0.19439
   -85.00  -110.00  2400.00 -0.19280
   -85.00  -105.00  2400.00 -0.19139
   -85.00  -100.00  2400.00 -0.19019
   -85.00   -95.00  2400.00 -0.18924
   -85.00   -90.00  2400.00 -0.18857
   -85.00   -85.00  2400.00 -0.18821
   -85.00   -80.00  2400.00 -0.18821
   -85.00   -75.00  2400.00 -0.18859
   -85.00   -70.00  2400.00 -0.18938
   -85.00   -65.00  2400.00 -0.19062
   -85.00   -60.00  2400.00 -0.19230
   -85.00   -55.00  2400.00 -0.19444
   -85.00   -50.00  2400.00 -0.19704
   -85.00   -45.00  2400.00 -0.20010
   -85.00   -40.00  2400.00 -0.20358
   -85.00   -35.00  2400.00 -0.20747
   -85.00   -30.00  2400.00 -0.21173
   -85.00   -25.00  2400.00 -0.21631
   -85.00   -20.00  2400.00 -0.22116
   -85.00   -15.00  2400.00 -0.22623
   -85.00   -10.00  2400.00 -0.23144
   -85.00    -5.00  2400.00 -0.23673
   -85.00     0.00  2400.00 -0.24203
   -85.00     5.00  2400.00 -0.24728
   -85.00    10.00  2400.00 -0.25239
   -85.00    15.00  2400.00 -0.25731
   -85.00    20.00  2400.00 -0.26196
   -85.00    25.00  2400.00 -0.26630
   -85.00    30.00  2400.00 -0.27027
   -85.00    35.00  2400.00 -0.27381
   -85.00    40.00  2400.00 -0.27690
   -85.00    45.00  2400.00 -0.27950
   -85.00    50.00  2400.00 -0.28159
   -85.00    55.00  2400.00 -0.28316
   -85.00    60.00  2400.00 -0.28420
   -85.00    65.00  2400.00 -0.28471
   -85.00    70.00  2400.00 -0.28471
   -85.00    75.00  2400.00 -0.28421
   -85.00    80.00  2400.00 -0.28323
   -85.00    85.00  2400.00 -0.28181
   -85.00    90.00  2400.00 -0.27998
   -85.00    95.00  2400.00 -0.27777
   -85.00   100.00  2400.00 -0.27525
