 Give mantle model (i.e. S20RTS.sph)
 Give latitude, longitude, depth (in km)
   -90.00  -180.00   100.00 -0.98491
   -90.00  -175.00   100.00 -0.98492
   -90.00  -170.00   100.00 -0.98492
   -90.00  -165.00   100.00 -0.98493
   -90.00  -160.00   100.00 -0.98493
   -90.00  -155.00   100.00 -0.98493
   -90.00  -150.00   100.00 -0.98493
   -90.00  -145.00   100.00 -0.98493
   -90.00  -140.00   100.00 -0.98492
   -90.00  -135.00   100.00 -0.98492
   -90.00  -130.00   100.00 -0.98491
   -90.00  -125.00   100.00 -0.98490
   -90.00  -120.00   100.00 -0.98490
   -90.00  -115.00   100.00 -0.98489
   -90.00  -110.00   100.00 -0.98488
   -90.00  -105.00   100.00 -0.98487
   -90.00  -100.00   100.00 -0.98486
   -90.00   -95.00   100.00 -0.98485
   -90.00   -90.00   100.00 -0.98485
   -90.00   -85.00   100.00 -0.98484
   -90.00   -80.00   100.00 -0.98483
   -90.00   -75.00   100.00 -0.98483
   -90.00   -70.00   100.00 -0.98483
   -90.00   -65.00   100.00 -0.98483
   -90.00   -60.00   100.00 -0.98483
   -90.00   -55.00   100.00 -0.98483
   -90.00   -50.00   100.00 -0.98483
   -90.00   -45.00   100.00 -0.98484
   -90.00   -40.00   100.00 -0.98484
   -90.00   -35.00   100.00 -0.98485
   -90.00   -30.00   100.00 -0.98486
   -90.00   -25.00   100.00 -0.98487
   -90.00   -20.00   100.00 -0.98488
   -90.00   -15.00   100.00 -0.98489
   -90.00   -10.00   100.00 -0.98490
   -90.00    -5.00   100.00 -0.98490
   -90.00     0.00   100.00 -0.98491
   -90.00     5.00   100.00 -0.98492
   -90.00    10.00   100.00 -0.98492
   -90.00    15.00   100.00 -0.98493
   -90.00    20.00   100.00 -0.98493
   -90.00    25.00   100.00 -0.98493
   -90.00    30.00   100.00 -0.98493
   -90.00    35.00   100.00 -0.98493
   -90.00    40.00   100.00 -0.98492
   -90.00    45.00   100.00 -0.98492
   -90.00    50.00   100.00 -0.98491
   -90.00    55.00   100.00 -0.98490
   -90.00    60.00   100.00 -0.98490
   -90.00    65.00   100.00 -0.98489
   -90.00    70.00   100.00 -0.98488
   -90.00    75.00   100.00 -0.98487
   -90.00    80.00   100.00 -0.98486
   -90.00    85.00   100.00 -0.98485
   -90.00    90.00   100.00 -0.98485
   -90.00    95.00   100.00 -0.98484
   -90.00   100.00   100.00 -0.98483
   -90.00   105.00   100.00 -0.98483
   -90.00   110.00   100.00 -0.98483
   -90.00   115.00   100.00 -0.98483
   -90.00   120.00   100.00 -0.98483
   -90.00   125.00   100.00 -0.98483
   -90.00   130.00   100.00 -0.98483
   -90.00   135.00   100.00 -0.98484
   -90.00   140.00   100.00 -0.98484
   -90.00   145.00   100.00 -0.98485
   -90.00   150.00   100.00 -0.98486
   -90.00   155.00   100.00 -0.98487
   -90.00   160.00   100.00 -0.98488
   -90.00   165.00   100.00 -0.98489
   -90.00   170.00   100.00 -0.98489
   -90.00   175.00   100.00 -0.98490
   -90.00   180.00   100.00 -0.98491
   -85.00  -180.00   100.00 -0.80784
   -85.00  -175.00   100.00 -0.79956
   -85.00  -170.00   100.00 -0.79282
   -85.00  -165.00   100.00 -0.78763
   -85.00  -160.00   100.00 -0.78394
   -85.00  -155.00   100.00 -0.78173
   -85.00  -150.00   100.00 -0.78092
   -85.00  -145.00   100.00 -0.78144
   -85.00  -140.00   100.00 -0.78320
   -85.00  -135.00   100.00 -0.78610
   -85.00  -130.00   100.00 -0.79005
   -85.00  -125.00   100.00 -0.79494
   -85.00  -120.00   100.00 -0.80067
   -85.00  -115.00   100.00 -0.80715
   -85.00  -110.00   100.00 -0.81430
   -85.00  -105.00   100.00 -0.82204
   -85.00  -100.00   100.00 -0.83031
   -85.00   -95.00   100.00 -0.83906
   -85.00   -90.00   100.00 -0.84826
   -85.00   -85.00   100.00 -0.85790
   -85.00   -80.00   100.00 -0.86796
   -85.00   -75.00   100.00 -0.87846
   -85.00   -70.00   100.00 -0.88939
   -85.00   -65.00   100.00 -0.90079
   -85.00   -60.00   100.00 -0.91266
   -85.00   -55.00   100.00 -0.92503
   -85.00   -50.00   100.00 -0.93789
   -85.00   -45.00   100.00 -0.95123
   -85.00   -40.00   100.00 -0.96505
   -85.00   -35.00   100.00 -0.97930
   -85.00   -30.00   100.00 -0.99391
   -85.00   -25.00   100.00 -1.00882
   -85.00   -20.00   100.00 -1.02392
   -85.00   -15.00   100.00 -1.03908
   -85.00   -10.00   100.00 -1.05418
   -85.00    -5.00   100.00 -1.06903
   -85.00     0.00   100.00 -1.08348
   -85.00     5.00   100.00 -1.09734
   -85.00    10.00   100.00 -1.11043
   -85.00    15.00   100.00 -1.12254
   -85.00    20.00   100.00 -1.13351
   -85.00    25.00   100.00 -1.14316
   -85.00    30.00   100.00 -1.15132
   -85.00    35.00   100.00 -1.15784
   -85.00    40.00   100.00 -1.16261
   -85.00    45.00   100.00 -1.16552
   -85.00    50.00   100.00 -1.16651
   -85.00    55.00   100.00 -1.16551
   -85.00    60.00   100.00 -1.16252
   -85.00    65.00   100.00 -1.15755
   -85.00    70.00   100.00 -1.15063
   -85.00    75.00   100.00 -1.14182
   -85.00    80.00   100.00 -1.13123
   -85.00    85.00   100.00 -1.11896
   -85.00    90.00   100.00 -1.10516
   -85.00    95.00   100.00 -1.08997
   -85.00   100.00   100.00 -1.07358
   -85.00   105.00   100.00 -1.05616
   -85.00   110.00   100.00 -1.03793
   -85.00   115.00   100.00 -1.01908
   -85.00   120.00   100.00 -0.99982
   -85.00   125.00   100.00 -0.98037
   -85.00   130.00   100.00 -0.96093
   -85.00   135.00   100.00 -0.94173
   -85.00   140.00   100.00 -0.92295
   -85.00   145.00   100.00 -0.90479
   -85.00   150.00   100.00 -0.88743
   -85.00   155.00   100.00 -0.87103
   -85.00   160.00   100.00 -0.85573
   -85.00   165.00   100.00 -0.84167
   -85.00   170.00   100.00 -0.82894
   -85.00   175.00   100.00 -0.81765
   -85.00   180.00   100.00 -0.80784
   -80.00  -180.00   100.00 -0.56917
   -80.00  -175.00   100.00 -0.55692
   -80.00  -170.00   100.00 -0.54851
   -80.00  -165.00   100.00 -0.54386
   -80.00  -160.00   100.00 -0.54277
   -80.00  -155.00   100.00 -0.54504
   -80.00  -150.00   100.00 -0.55035
   -80.00  -145.00   100.00 -0.55836
   -80.00  -140.00   100.00 -0.56867
   -80.00  -135.00   100.00 -0.58088
   -80.00  -130.00   100.00 -0.59454
   -80.00  -125.00   100.00 -0.60922
   -80.00  -120.00   100.00 -0.62450
   -80.00  -115.00   100.00 -0.64001
   -80.00  -110.00   100.00 -0.65540
   -80.00  -105.00   100.00 -0.67042
   -80.00  -100.00   100.00 -0.68488
   -80.00   -95.00   100.00 -0.69867
   -80.00   -90.00   100.00 -0.71180
   -80.00   -85.00   100.00 -0.72435
   -80.00   -80.00   100.00 -0.73649
   -80.00   -75.00   100.00 -0.74847
   -80.00   -70.00   100.00 -0.76060
   -80.00   -65.00   100.00 -0.77325
   -80.00   -60.00   100.00 -0.78680
   -80.00   -55.00   100.00 -0.80164
   -80.00   -50.00   100.00 -0.81811
   -80.00   -45.00   100.00 -0.83654
   -80.00   -40.00   100.00 -0.85715
   -80.00   -35.00   100.00 -0.88010
   -80.00   -30.00   100.00 -0.90543
   -80.00   -25.00   100.00 -0.93307
   -80.00   -20.00   100.00 -0.96283
   -80.00   -15.00   100.00 -0.99442
   -80.00   -10.00   100.00 -1.02741
   -80.00    -5.00   100.00 -1.06133
   -80.00     0.00   100.00 -1.09558
   -80.00     5.00   100.00 -1.12954
   -80.00    10.00   100.00 -1.16256
   -80.00    15.00   100.00 -1.19397
   -80.00    20.00   100.00 -1.22312
   -80.00    25.00   100.00 -1.24941
   -80.00    30.00   100.00 -1.27227
   -80.00    35.00   100.00 -1.29123
   -80.00    40.00   100.00 -1.30590
   -80.00    45.00   100.00 -1.31595
   -80.00    50.00   100.00 -1.32119
   -80.00    55.00   100.00 -1.32149
   -80.00    60.00   100.00 -1.31683
   -80.00    65.00   100.00 -1.30727
   -80.00    70.00   100.00 -1.29296
   -80.00    75.00   100.00 -1.27409
   -80.00    80.00   100.00 -1.25096
   -80.00    85.00   100.00 -1.22390
   -80.00    90.00   100.00 -1.19327
   -80.00    95.00   100.00 -1.15951
   -80.00   100.00   100.00 -1.12305
   -80.00   105.00   100.00 -1.08438
   -80.00   110.00   100.00 -1.04399
   -80.00   115.00   100.00 -1.00238
   -80.00   120.00   100.00 -0.96007
   -80.00   125.00   100.00 -0.91758
   -80.00   130.00   100.00 -0.87542
   -80.00   135.00   100.00 -0.83408
