 Give mantle model (i.e. S20RTS.sph)
 Give latitude, longitude, depth (in km)
   -90.00  -180.00   100.00 -0.94067
   -90.00  -175.00   100.00 -0.94068
   -90.00  -170.00   100.00 -0.94068
   -90.00  -165.00   100.00 -0.94068
   -90.00  -160.00   100.00 -0.94068
   -90.00  -155.00   100.00 -0.94068
   -90.00  -150.00   100.00 -0.94067
   -90.00  -145.00   100.00 -0.94067
   -90.00  -140.00   100.00 -0.94066
   -90.00  -135.00   100.00 -0.94064
   -90.00  -130.00   100.00 -0.94063
   -90.00  -125.00   100.00 -0.94062
   -90.00  -120.00   100.00 -0.94060
   -90.00  -115.00   100.00 -0.94058
   -90.00  -110.00   100.00 -0.94057
   -90.00  -105.00   100.00 -0.94056
   -90.00  -100.00   100.00 -0.94054
   -90.00   -95.00   100.00 -0.94053
   -90.00   -90.00   100.00 -0.94052
   -90.00   -85.00   100.00 -0.94052
   -90.00   -80.00   100.00 -0.94051
   -90.00   -75.00   100.00 -0.94051
   -90.00   -70.00   100.00 -0.94051
   -90.00   -65.00   100.00 -0.94052
   -90.00   -60.00   100.00 -0.94052
   -90.00   -55.00   100.00 -0.94053
   -90.00   -50.00   100.00 -0.94054
   -90.00   -45.00   100.00 -0.94055
   -90.00   -40.00   100.00 -0.94057
   -90.00   -35.00   100.00 -0.94058
   -90.00   -30.00   100.00 -0.94060
   -90.00   -25.00   100.00 -0.94061
   -90.00   -20.00   100.00 -0.94063
   -90.00   -15.00   100.00 -0.94064
   -90.00   -10.00   100.00 -0.94065
   -90.00    -5.00   100.00 -0.94066
   -90.00     0.00   100.00 -0.94067
   -90.00     5.00   100.00 -0.94068
   -90.00    10.00   100.00 -0.94068
   -90.00    15.00   100.00 -0.94069
   -90.00    20.00   100.00 -0.94068
   -90.00    25.00   100.00 -0.94068
   -90.00    30.00   100.00 -0.94067
   -90.00    35.00   100.00 -0.94067
   -90.00    40.00   100.00 -0.94066
   -90.00    45.00   100.00 -0.94064
   -90.00    50.00   100.00 -0.94063
   -90.00    55.00   100.00 -0.94062
   -90.00    60.00   100.00 -0.94060
   -90.00    65.00   100.00 -0.94059
   -90.00    70.00   100.00 -0.94057
   -90.00    75.00   100.00 -0.94056
   -90.00    80.00   100.00 -0.94054
   -90.00    85.00   100.00 -0.94053
   -90.00    90.00   100.00 -0.94052
   -90.00    95.00   100.00 -0.94052
   -90.00   100.00   100.00 -0.94051
   -90.00   105.00   100.00 -0.94051
   -90.00   110.00   100.00 -0.94051
   -90.00   115.00   100.00 -0.94052
   -90.00   120.00   100.00 -0.94052
   -90.00   125.00   100.00 -0.94053
   -90.00   130.00   100.00 -0.94054
   -90.00   135.00   100.00 -0.94055
   -90.00   140.00   100.00 -0.94057
   -90.00   145.00   100.00 -0.94058
   -90.00   150.00   100.00 -0.94059
   -90.00   155.00   100.00 -0.94061
   -90.00   160.00   100.00 -0.94062
   -90.00   165.00   100.00 -0.94064
   -90.00   170.00   100.00 -0.94065
   -90.00   175.00   100.00 -0.94066
   -90.00   180.00   100.00 -0.94067
   -85.00  -180.00   100.00 -0.75892
   -85.00  -175.00   100.00 -0.75252
   -85.00  -170.00   100.00 -0.74780
   -85.00  -165.00   100.00 -0.74474
   -85.00  -160.00   100.00 -0.74328
   -85.00  -155.00   100.00 -0.74336
   -85.00  -150.00   100.00 -0.74487
   -85.00  -145.00   100.00 -0.74771
   -85.00  -140.00   100.00 -0.75175
   -85.00  -135.00   100.00 -0.75686
   -85.00  -130.00   100.00 -0.76289
   -85.00  -125.00   100.00 -0.76970
   -85.00  -120.00   100.00 -0.77717
   -85.00  -115.00   100.00 -0.78517
   -85.00  -110.00   100.00 -0.79358
   -85.00  -105.00   100.00 -0.80230
   -85.00  -100.00   100.00 -0.81127
   -85.00   -95.00   100.00 -0.82043
   -85.00   -90.00   100.00 -0.82973
   -85.00   -85.00   100.00 -0.83916
   -85.00   -80.00   100.00 -0.84874
   -85.00   -75.00   100.00 -0.85847
   -85.00   -70.00   100.00 -0.86839
   -85.00   -65.00   100.00 -0.87854
   -85.00   -60.00   100.00 -0.88897
   -85.00   -55.00   100.00 -0.89973
   -85.00   -50.00   100.00 -0.91085
   -85.00   -45.00   100.00 -0.92237
   -85.00   -40.00   100.00 -0.93429
   -85.00   -35.00   100.00 -0.94661
   -85.00   -30.00   100.00 -0.95930
   -85.00   -25.00   100.00 -0.97231
   -85.00   -20.00   100.00 -0.98556
   -85.00   -15.00   100.00 -0.99895
   -85.00   -10.00   100.00 -1.01235
   -85.00    -5.00   100.00 -1.02561
   -85.00     0.00   100.00 -1.03857
   -85.00     5.00   100.00 -1.05104
   -85.00    10.00   100.00 -1.06285
   -85.00    15.00   100.00 -1.07380
   -85.00    20.00   100.00 -1.08370
   -85.00    25.00   100.00 -1.09237
   -85.00    30.00   100.00 -1.09963
   -85.00    35.00   100.00 -1.10535
   -85.00    40.00   100.00 -1.10938
   -85.00    45.00   100.00 -1.11162
   -85.00    50.00   100.00 -1.11198
   -85.00    55.00   100.00 -1.11041
   -85.00    60.00   100.00 -1.10689
   -85.00    65.00   100.00 -1.10142
   -85.00    70.00   100.00 -1.09404
   -85.00    75.00   100.00 -1.08481
   -85.00    80.00   100.00 -1.07382
   -85.00    85.00   100.00 -1.06120
   -85.00    90.00   100.00 -1.04707
   -85.00    95.00   100.00 -1.03159
   -85.00   100.00   100.00 -1.01495
   -85.00   105.00   100.00 -0.99735
   -85.00   110.00   100.00 -0.97897
   -85.00   115.00   100.00 -0.96005
   -85.00   120.00   100.00 -0.94079
   -85.00   125.00   100.00 -0.92143
   -85.00   130.00   100.00 -0.90219
   -85.00   135.00   100.00 -0.88329
   -85.00   140.00   100.00 -0.86494
   -85.00   145.00   100.00 -0.84735
   -85.00   150.00   100.00 -0.83070
   -85.00   155.00   100.00 -0.81518
   -85.00   160.00   100.00 -0.80092
   -85.00   165.00   100.00 -0.78807
   -85.00   170.00   100.00 -0.77674
   -85.00   175.00   100.00 -0.76700
   -85.00   180.00   100.00 -0.75892
   -80.00  -180.00   100.00 -0.51027
   -80.00  -175.00   100.00 -0.50161
   -80.00  -170.00   100.00 -0.49737
   -80.00  -165.00   100.00 -0.49744
   -80.00  -160.00   100.00 -0.50157
   -80.00  -155.00   100.00 -0.50946
   -80.00  -150.00   100.00 -0.52070
   -80.00  -145.00   100.00 -0.53482
   -80.00  -140.00   100.00 -0.55131
   -80.00  -135.00   100.00 -0.56960
   -80.00  -130.00   100.00 -0.58910
   -80.00  -125.00   100.00 -0.60924
   -80.00  -120.00   100.00 -0.62946
   -80.00  -115.00   100.00 -0.64925
   -80.00  -110.00   100.00 -0.66816
   -80.00  -105.00   100.00 -0.68583
   -80.00  -100.00   100.00 -0.70203
   -80.00   -95.00   100.00 -0.71661
   -80.00   -90.00   100.00 -0.72955
   -80.00   -85.00   100.00 -0.74096
   -80.00   -80.00   100.00 -0.75107
   -80.00   -75.00   100.00 -0.76019
   -80.00   -70.00   100.00 -0.76875
   -80.00   -65.00   100.00 -0.77721
   -80.00   -60.00   100.00 -0.78611
   -80.00   -55.00   100.00 -0.79594
   -80.00   -50.00   100.00 -0.80723
   -80.00   -45.00   100.00 -0.82041
   -80.00   -40.00   100.00 -0.83585
   -80.00   -35.00   100.00 -0.85382
   -80.00   -30.00   100.00 -0.87445
   -80.00   -25.00   100.00 -0.89776
   -80.00   -20.00   100.00 -0.92361
   -80.00   -15.00   100.00 -0.95175
   -80.00   -10.00   100.00 -0.98177
   -80.00    -5.00   100.00 -1.01318
   -80.00     0.00   100.00 -1.04538
   -80.00     5.00   100.00 -1.07770
   -80.00    10.00   100.00 -1.10944
   -80.00    15.00   100.00 -1.13988
   -80.00    20.00   100.00 -1.16833
   -80.00    25.00   100.00 -1.19410
   -80.00    30.00   100.00 -1.21661
   -80.00    35.00   100.00 -1.23531
   -80.00    40.00   100.00 -1.24976
   -80.00    45.00   100.00 -1.25964
   -80.00    50.00   100.00 -1.26468
   -80.00    55.00   100.00 -1.26477
   -80.00    60.00   100.00 -1.25985
   -80.00    65.00   100.00 -1.24998
   -80.00    70.00   100.00 -1.23529
   -80.00    75.00   100.00 -1.21599
   -80.00    80.00   100.00 -1.19235
   -80.00    85.00   100.00 -1.16470
   -80.00    90.00   100.00 -1.13343
   -80.00    95.00   100.00 -1.09894
   -80.00   100.00   100.00 -1.06170
   -80.00   105.00   100.00 -1.02218
   -80.00   110.00   100.00 -0.98089
   -80.00   115.00   100.00 -0.93835
   -80.00   120.00   100.00 -0.89511
   -80.00   125.00   100.00 -0.85170
   -80.00   130.00   100.00 -0.80869
   -80.00   135.00   100.00 -0.76662
   -80.00   140.00   100.00 -0.72605
   -80.00   145.00   100.00 -0.68749
   -80.00   150.00   100.00 -0.65144
   -80.00   155.00   100.00 -0.61838
   -80.00   160.00   100.00 -0.58872
   -80.00   165.00   100.00 -0.56282
   -80.00   170.00   100.00 -0.54097
   -80.00   175.00   100.00 -0.52341
   -80.00   180.00   100.00 -0.51027
   -75.00  -180.00   100.00 -0.21884
   -75.00  -175.00   100.00 -0.20978
   -75.00  -170.00   100.00 -0.20881
   -75.00  -165.00   100.00 -0.21571
   -75.00  -160.00   100.00 -0.23009
   -75.00  -155.00   100.00 -0.25133
   -75.00  -150.00   100.00 -0.27862
   -75.00  -145.00   100.00 -0.31099
   -75.00  -140.00   100.00 -0.34728
   -75.00  -135.00   100.00 -0.38624
   -75.00  -130.00   100.00 -0.42653
   -75.00  -125.00   100.00 -0.46677
   -75.00  -120.00   100.00 -0.50564
   -75.00  -115.00   100.00 -0.54186
   -75.00  -110.00   100.00 -0.57433
   -75.00  -105.00   100.00 -0.60214
   -75.00  -100.00   100.00 -0.62466
   -75.00   -95.00   100.00 -0.64151
   -75.00   -90.00   100.00 -0.65266
   -75.00   -85.00   100.00 -0.65843
   -75.00   -80.00   100.00 -0.65944
   -75.00   -75.00   100.00 -0.65662
   -75.00   -70.00   100.00 -0.65118
   -75.00   -65.00   100.00 -0.64449
   -75.00   -60.00   100.00 -0.63809
   -75.00   -55.00   100.00 -0.63353
   -75.00   -50.00   100.00 -0.63232
